Group in the EP,Original name,Sede
GUE/NGL,AKEL,"Nicosia, Cyprus"
GUE/NGL,Bloco de esquerda,"Lisbon, Portugal"
GUE/NGL,Die Linke,"Berlin, Germany"
GUE/NGL,Folvevebaesen,"Copenhagen, Denmark"
GUE/NGL,Front de gauche,"Paris, France"
GUE/NGL,Saskanas centrs´,"Riga, Latvia"
GUE/NGL,Hrvatski laburisti,"Zagreb, Croatia"
GUE/NGL,Izquierda Unida,"Madrid, Spain"
GUE/NGL,KKE,"Athens, Greece"
GUE/NGL,KSCM,"Prague, Czech Republic"
GUE/NGL,PCP,"Lisbon, Portugal"
GUE/NGL,Sinn Féin,"Dublin, Ireland"
GUE/NGL,Socialist party,"Dublin, Ireland"
GUE/NGL,Socialistiche Partij,"Amersfoort, Netherlands"
GUE/NGL,Syriza,"Athens, Greece"
GUE/NGL,Vänsterpartiet,"Stockholm, Sweden"
S&D,SPÖ,"Vienna, Austria"
S&D,Parti Socialiste,"Brussels, Belgium"
S&D,Spa,"Brussels, Belgium"
S&D,Bulgarian socialist party,"Sofia, Bulgaria"
S&D,Socijaldemokratska partija Hrvatske,"Zagreb, Croatia"
S&D,EDEK,"Nicosia, Cyprus"
S&D,Dimokratikó Kómma,"Nicosia, Cyprus"
S&D,CSSD,"Prague, Czech Republic"
S&D,Socialdemokraterne,"Frederiksberg, Denmark"
S&D,SDE,"Tallinn, Estonia"
S&D,SDP,"Helsinki, Finland"
S&D,Parti Socialiste,"Paris, France"
S&D,SPD,"Berlin, Germany"
S&D,PASOK,"Athens, Greece"
S&D,DIMAR,"Athens, Greece"
S&D,MSZP,"Budapest, Hungary"
S&D,Labour,"Dublin, Ireland"
S&D,Partito democratico,"Rome, Italy"
S&D,Sinistra democratica,"Rome, Italy"
S&D,Partito socialista italiano,"Rome, Italy"
S&D,LSDP,"Vilnius, Lithuania"
S&D,LSAP,"Luxembourg, Luxembourg"
S&D,Labour party,"Hamrun, Malta"
