Twitter account party,Group in the EP
AKEL1926,GUE/NGL
GPBloco,GUE/NGL
dieLinke,GUE/NGL
Folkebevagelsen,GUE/NGL
FDG,GUE/NGL
saskanascentrs,GUE/NGL
HRLaburisti,GUE/NGL
iunida,GUE/NGL
KKEGreece,GUE/NGL
kscmcz,GUE/NGL
_pcp_,GUE/NGL
sinnfeinireland,GUE/NGL
SocialistParty,GUE/NGL
SPnl,GUE/NGL
syriza_gr,GUE/NGL
vansterpartiet‎,GUE/NGL
GUENGL,GUE/NGL
SPOE_at,S&D
PSofficiel,S&D
sp_a,S&D
SDPHrvatske,S&D
KSEDEK,S&D
DikoEpikoinonia,S&D
cssd,S&D
Spolitik,S&D
partisocialiste,S&D
Social democratic party of Germany,S&D
pasok,S&D
dimokratiki,S&D
mszphu,S&D
labour,S&D
pdnetwork,S&D
PartSocialista,S&D
e_lsap,S&D
PL_Malta,S&D
PvdA,S&D
sldpoland,S&D
psocialista,S&D
psdbiroupresa,S&D
smersd,S&D
strankaSD,S&D
PSOE,S&D
socialdemokrat,S&D
UKLabour,S&D
TheProgressives,S&D
neos_eu,ALDE
openvld,ALDE
MR_officiel,ALDE
dps_news,ALDE
Venstre,ALDE
radikale,ALDE
keskerakondlane,ALDE
reformikad,ALDE
keskusta,ALDE
sfprkp,ALDE
MoDem,ALDE
CAP21_Tweets,ALDE
fdp_de,ALDE
Drassi,ALDE
fiannafailparty,ALDE
Idvstaff,ALDE
Radicali,ALDE
DarboPartija,ALDE
liberalai,ALDE
dp_lu,ALDE
VVD,ALDE
D66,ALDE
pnl_ro,ALDE
ldsstranka,ALDE
ConvergenciaCAT,ALDE
EAJ__PNV,ALDE
folkpartiet,ALDE
Centerpartiet,ALDE
LibDems,ALDE
aldeparty,ALDE
Gruene_Austria,Greens
Ecolo,Greens
de_NVA,Greens
sfpolitik,Greens
vihreat,Greens
Die_Gruenen‎,Greens
Ecogreens,Greens
verditalia,Greens
deigreng,Greens
equo,Greens
Esquerra_ERC,Greens
iniciativa,Greens
ealkartasuna,Greens
obloque,Greens
miljopartiet,Greens
piratpartiet,Greens
TheGreenParty,Greens
theSNP,Greens
Plaid_Cymru,Greens
europeangreens,Greens
oevp,EPP
cdenv,EPP
lecdh,EPP
HDZ_HR,EPP
DISY,EPP
kducsl,EPP
TOP09cz,EPP
KonservativeDK,EPP
Erakond,EPP
kokoomus,EPP
KDpuolue,EPP
ump,EPP
UDI_off,EPP
CDU,EPP
CSU,EPP
neadimokratia,EPP
Fideszmpsz,EPP
kdnp,EPP
forza_italia‎,EPP
NuoCentrodestra,EPP
udctw,EPP
FratellidItaIia,EPP
SVP_Suedtiro,EPP
futuroeliberta,EPP
ItaliaProgetto,EPP
tslkd,EPP
@PNmalta,EPP
@cdavandaag,EPP
@Platforma_org,EPP
@LudowcyPSL,EPP
@ppdpsd,EPP
@CDSPP,EPP
@RMDSZ_UDMR,EPP
@sdkuds,EPP
@KDHsk,EPP
strankaSDS,EPP
NovaSlovenija,EPP
PPopular,EPP
unio_cat,EPP
nya_moderaterna,EPP
kdriks,EPP
EPPGroup,EPP
HSPZagreb,ECR
ODScz,ECR
moma_2014,ECR
movimentoCSR,ECR
tblv,ECR
christenunie,ECR
kppis,ECR
PolskaRazem,ECR
Conservatives,ECR
uuponline,ECR
ecrgroup,ECR
DanskDf1995,EFD
VerkkomediaPS,EFD
laos_Hellas,EFD
LegaNordPadania,EFD
magdicristiano,EFD
SGPnieuws,EFD
SolidarnaPL,EFD
UKIP,EFD
EFDgroup,EFD
vlbelang,EAF
FN_officiel,EAF
BIWaktuell‎,EAF
sdriks‎,EAF
Eurallfree,EAF
