city,country,lat,lng
Amersfoort,Netherlands,52.1561113,5.387826599999999
Amsterdam,Netherlands,52.3702157,4.895167900000001
Anderlecht,Belgium,50.8365808,4.308187
Athens,Greece,37.9837155,23.7293097
Barcelona,Spain,41.3850639,2.1734035
Bastia,France,42.697283,9.450880999999999
Belfast,Northern Ireland,54.59728500000001,-5.93012
Berlin,Germany,52.52000659999999,13.404954
Bilbao,Spain,43.2630126,-2.9349852
Bolzano,Italy,46.4982953,11.3547582
Bratislava,Slovak Republic,48.1458923,17.1071373
Brussels,Belgium,50.8503396,4.3517103
Bucharest,Romania,44.4325,26.1038889
Budapest,Hungary,47.497912,19.040235
Cardiff,Wales,51.48158100000001,-3.17909
Copenhagen,Denmark,55.6760968,12.5683371
Devon,England,50.77721349999999,-3.999461
Dublin,Ireland,53.3498053,-6.2603097
Edinburgh,Scotland,55.953252,-3.188267
Eupen,Belgium,50.6292029,6.0337111
Frederiksberg,Denmark,55.677069,12.513321
Gent,Belgium,51.0543422,3.7174243
Gouda,Netherlands,52.0115205,4.7104633
Hamrun,Malta,35.887693,14.488662
Helsinki,Finland,60.17332440000001,24.9410248
Holte,Denmark,55.8172508,12.4722496
Lisbon,Portugal,38.7222524,-9.1393366
Ljubljana,Slovenia,46.05645089999999,14.5080702
London,UK,51.508515,-0.1254872
Luxembourg,Luxembourg,49.61162100000001,6.1319346
Madrid,Spain,40.4167754,-3.7037902
Milan,Italy,45.4654542,9.186516
Munich,Germany,48.1351253,11.5819806
Namur,Belgium,50.4673883,4.8719854
Nicosia,Cyprus,35.1666667,33.3666667
Paris,France,48.856614,2.3522219
Prague,Czech Republic,50.0755381,14.4378005
Riga,Latvia,56.9496487,24.1051864
Rome,Italy,41.8929163,12.4825199
San Sebastian,Spain,43.318334,-1.9812313
Santiago de Compostela,Spain,42.8782132,-8.5448445
Sofia,Bulgaria,42.6978388,23.3216697
Stockholm,Sweden,59.32893000000001,18.06491
Tallinn,Estonia,59.43696079999999,24.7535746
The Hague,Netherlands,52.0704978,4.3006999
Valletta,Malta,35.89779,14.514106
Vienna,Austria,48.2081743,16.3738189
Vilnius,Lithuania,54.6871555,25.2796514
Warsaw,Poland,52.2296756,21.0122287
Zagreb,Croatia,45.8130293,15.9778949
